,English,Bemba,Bemba2
0,Abdomen,Ifumo,
1,Above,Pa mulu,
2,Absent,Tapali,Talipo
3,Abuse,Umusalula,
4,Accept,Poka,Pokelela
5,Accident,Ishamo,
6,Acclimatize,Belela,
7,Accompany,Shindika,
8,According,Ukulingana,
9,Accustom,Belesha,
10,Ache,Kalipa,
11,Act,Imicitile,
12,Add,Lunda,Bikapo
13,Adhere,Kambatila,
14,Administration,Ubuteko,
15,Admire,Kumbwa,Tamba
16,Admit,Sumina,
17,Admonish,Konkomesha,
18,Adore,Pepa,
19,Adult,-kalamba,
20,Adulterer,Umucende,
21,Adultery,Ubucende,
22,Advance,Tangisha,
23,Advantage,Wamina,
24,Advice,Ifunde,
25,Adviser,Kapanda mano,
26,Aeroplane,Indeke,
27,Afar,Ukutali,
28,Afflict,Cusha,
29,Affliction,Ubucushi,
30,Afraid,-tina,
31,Afresh,Kabili,
32,Africa,Icalo ca Afrika,
33,African,Umwina Afrika,
34,After,Kuntanshi,
35,Afternoon,Icungulo,
36,Afterwards,Pa numa,
37,Again,Nakabili,
38,Against,-ku,Pata
39,Age,Imyaka,
40,Aggravate,Kusha,
41,Ago,Papita,
42,Agonize,Pumbuka,
43,Agree,Sumina,
44,Agreeable,-wama,
45,Agreement,Icumfwano,Icipangano
46,Agriculture,Ubulimi,
47,Ahead,Kuntanshi,
48,Aid,-afwa,Ubwafwilisho
49,Aim,Andika,Tonta
50,Air,Umwela,
51,Alas,Owe!,
52,Alarm,Soka,-tinya
53,Alert,-cebuka,
54,Alien,Umweni,-ceni
55,Alike,Pala,Mumo
56,Alive,Mumi,
57,All,Onse,
58,Allow,Suminisha,
59,Almighty,Wa maka yonse,
60,Almost,Mu cikanga,
61,Alms,Ubupe,
62,Alone,Eka,
63,Aloud,Ikatisha,
64,Alphabet,Ifilembo,
65,Already,Kale,
66,Also,Na,
67,Alter,Alula,
68,Although,Nangu,
69,Always,Pe na pe,
70,Amaze,Sungusha,
71,Amend,Wamya,
72,Amidst,Pa kati ka-,
73,Ammunition,Cipolopolo,
74,Among,Pa kati ka-,
75,Amount,(Fyonse) pamo,
76,Amputate,Putula,Teta
77,Amuse,Sekesha,
78,Amusement,Umusamwe,
79,Ancestor,Icikolwe,
80,Ancient,Kale,
81,And,Na,
82,Angel,Malaika,
83,Anger,Icipyu,Ubukali
84,Animal,Inama,
85,Ankle,Inkolokoso,
86,Announcement,Imbila,
87,Annoy,Kalifya,
88,Annual,Mwaka,
89,Annually,Cila mwaka,
90,Annoint,Suba,
91,Another,-mbi,
92,Answer,Ankula,Ubwasuko
